Category Name,Category Bid No,Doc ID
"RFID Tag,RFID Staff Reader,Hand Held Reader,RFID Self Check in Check out Kiosk,No Bid",—,9343988
Camera for CCTV System (V3),—,9710508
"JOINTING VSG (TRANSM VARIABLE SPEED GEAR) BOF-6111255,JOINT 6211389",—,9697835
Chemical Mechanical Polishing System,—,9652949
Electron Beam Lithography,—,9652579
One Man Meals Ready to Eat (Menu No. 1) (V4) (Defence),—,9764392
"26606230180,26606230251,26613060571,26616030730,90721063350,93451001130",—,9639755
"channel plate gasket part No 3233018046,channel plate gasket part no 3233014046,channel plate with",—,9504432
INSURAL MASTIC_ 1000075390,—,9660598
BARE SHAFT ROTARY LOBE KAY VACUUM BLOWER ASSEMBLY (WITHOUT MOTOR) FOR FTA 3 CRANE IN ABF 1,—,9645648
Angle Cutter (Electric),—,9638452
"Direct Evaporative Air Cooler (V2) ISI Marked To IS 3315,Direct Evaporative Air Cooler (V2) ISI Mar",—,9521483
Gasket remover and paint stripper,—,9526729
"HAL-ALH-RL - RUGGED LAPTOP (Specification as per attachment),HAL-ALH-DMS-LT - DATA MANAGEMENT LAPTO",—,9592380
Mobile Storage Compactors,—,9638263
HCV ELISA Test Kits,—,9724920
"FOUR CHAMBER ALPHA SPECTROMETER WITH PIPS DETECTORS, VACUUM PUMP, SOFTWARE AND DATA ACQUISITION SYS",—,9532460
Dehumidifier,—,9741608
Straw / Bhusa,—,9662543
"FLAPPERON DEFLECTION VERIFICATION TEMPLATE,ELEVATOR DEFLECTON VERIFICATION TEMPLATE,RUDDER DEFLECTO",—,9686726
3D Coordinate Measuring Machine,—,9390503
Vessel Sealer and Dissector,—,9687743
"Multifunction printer plotter,Photocopier machine,Water dispenser,Microwave oven,Refrigerator,Food",—,9416302
Ni-MH Battery for Hand Held Radio Set as per MHA QR,—,9734056
Safes (V3) ISI Marked to IS 550,—,9565149
"Siren Horn 24 Volt,Fuel Feed Pump,Assy Clutch Disc 330 Dia,Assy Clutch Pressure Plate 330 Dia,Gear",—,9786702
"Nitrofurantoin Tablet,Carbamazepine Tablets (V2),Calamine Lotion (V2),Ondansetron Tablet,Hydrochlor",—,9664159
Stationary Valve Regulated Lead Acid Batteries (V3) Conforming To IS 15549,—,9786871
"Fabrication of eaves and canopies with ACP cladding,Toughened glass 12 mm with fittings including d",—,9736662
"Split Air Conditioner, Wall Mount Type (V3) ISI Marked to IS 1391 (Part 2)",—,9786523
"BRAKE PIPE,ENGINE MOUNTINFG PAD,CABIN MOUNTING PAD,GAITER,AIR CLEANER WITH FILTER ASSY,UNIVERSAL CL",—,9721477
"Windows 11 pro 25H2 offline,Security software antivirus offline",—,9709120
"Refined Sunflower Oil (V4) (Defence),Refined Groundnut Oil (V4) (Defence)",—,9786459
Refined Sunflower Oil (V4) (Defence),—,9786577
"Revolving Chair (V5),Revolving Chair (V5),Chair for General Purpose",—,9759395
"Assembled PC,Print Machine,HDMI CABLWire,Digimore Mic Set,Power Cable",—,9729887
Provision of FGH (8/10 Men) in UT of Ladakh,—,9613586
"Kadai with lid 22 inch,Kadai with lid 18 inch,Kadai Induction Support 15 inch,Kadai Induction Suppo",—,9681089
"Endotracheal Tube - Sterile (Single Use),Endotracheal Tube - Sterile (Single Use),Endotracheal Tube",—,9632442
Megger KFLAB Kit Consumable Set,—,9708041
"Digital VHF Base / Mobile Transceiver Set as per MHA QR,Static HF Transceiver as per MHA QR (V3),Di",—,9723604
"100269416_ 10_ M9406011002_ FUNCTION TEST KIT, TRANSFORMER TESTING",—,9674039
Curtains (V2),—,9766076
Night Vision Goggles,—,9676511
high performance power supplies,—,9665773
Lunch Box (V3),—,9653007
FBB Firewall router,—,9653851
"Fuel Pump Kit,O ring,Rivet,Bushing,Nut Castle",—,9727920
High Vacuum Suction Machine (V3),—,9554583
Online UPS (?10 KVA) With Battery Conforming To IS 16242 (Part 1),—,9484908
"5110-000221,5120-001104,5133-000168,5110-000787,5120-000085,5110-000004,5120-000049,5120-002565,511",—,9730769
"CHILLY POWDER,TURMERIC POWDER,CORIANDER WHOLE,GARLIC SEEDS,BLACK PEPPER,JEERA,LARGE CARDAMOM,TAMARI",—,9719309
"CT63-105-00481,CT63-105-00482,CT63-105-00483,CT63-105-00484,CT63-105-00485,CT63-105-00486",—,9639496
Absorbent Boom,—,9677129
"CT63-103-00001,CT63-103-00002,CT63-103-00003,CT63-103-00004,CT63-103-00005,CT63-103-00006,CT63-103-",—,9640309
"SIDE FLUE WALL TOP END BLOCK MARK: F-13 FOR ABF-II AND III_ 3000012205,SIDE FLUE WALL TOP END BLOCK",—,9637055
Horizontal Autoclave,—,9621023
Interactive Panels with CPU,—,9686695
Self Priming Pump Conforming To IS 5120,—,9612298
"M4768106368,M4768106333,M4768106392,M4768106343,M4768106337",—,9758485
